segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,ml_predicted_sss,ml_predicted_band,ml_shap_top_feature,ml_confidence
SE/4183,MH,secondary,rural,77.14285714285715,60.0,40.680946,Moderate,exposure_score,1.5567421
SE/8617,MH,secondary,rural,77.14285714285715,60.0,44.847527,Moderate,exposure_score,1.9200189
SE/4924,MH,secondary,rural,90.0,70.0,56.099262,High Risk,exposure_score,2.9459932
SE/4206,MH,secondary,rural,77.14285714285715,60.0,42.02932,Moderate,exposure_score,0.64235127
SE/5268,MH,secondary,rural,90.0,70.0,49.088436,High Risk,exposure_score,1.0153657
SE/7039,MH,secondary,rural,90.0,70.0,46.618298,Moderate,exposure_score,1.2801586
SE/5266,MH,secondary,rural,90.0,70.0,54.069637,High Risk,exposure_score,3.2240129
SE/5708,MH,secondary,rural,90.0,70.0,48.52033,Moderate,exposure_score,2.4269238
SE/5904,MH,secondary,rural,64.28571428571429,50.0,49.207733,High Risk,exposure_score,2.1431646
SE/5006,MH,secondary,rural,77.14285714285715,60.0,46.921192,Moderate,exposure_score,0.7341428
SE/6808,MH,secondary,rural,90.0,70.0,40.67675,Moderate,speed_limit_to_ss_ratio,1.4912944
SE/5688,MH,secondary,rural,90.0,70.0,43.199757,Moderate,exposure_score,0.5974048
SE/8283,MH,secondary,rural,90.0,70.0,54.68309,High Risk,exposure_score,1.7789226
SE/7547,MH,secondary,rural,90.0,70.0,45.49882,Moderate,exposure_score,1.0066522
SE/5692,MH,secondary,rural,90.0,70.0,48.208717,Moderate,exposure_score,2.3240366
SE/5695,MH,secondary,rural,64.28571428571429,50.0,43.985325,Moderate,speed_limit_to_ss_ratio,1.272369
SE/5647,MH,secondary,rural,64.28571428571429,50.0,42.0809,Moderate,speed_limit_to_ss_ratio,2.8255012
SE/9360,MH,secondary,rural,90.0,70.0,40.607117,Moderate,exposure_score,1.1644754
SE/4411,MH,secondary,rural,90.0,70.0,42.23942,Moderate,speed_limit_to_ss_ratio,1.1803868
SE/10876,MH,secondary,rural,90.0,70.0,47.894516,Moderate,exposure_score,1.9620407
SE/10342,MH,secondary,rural,90.0,70.0,46.849983,Moderate,exposure_score,1.3799077
SE/4455,MH,secondary,urban,80.0,50.0,71.904366,High Risk,speed_limit_to_ss_ratio,2.169958
SE/8142,MH,secondary,rural,90.0,70.0,48.720604,Moderate,exposure_score,1.5969651
PR/355,MH,primary,rural,38.57142857142858,30.0,44.594883,Moderate,ghsl_settlement_code,1.7895858
SE/4487,MH,secondary,rural,64.28571428571429,50.0,41.94495,Moderate,speed_limit_to_ss_ratio,1.5758114
SE/4959,MH,secondary,rural,90.0,70.0,45.29373,Moderate,exposure_score,0.88033146
SE/8534,MH,secondary,rural,64.28571428571429,50.0,48.055878,Moderate,ghsl_settlement_code,1.8317689
SE/7010,MH,secondary,rural,64.28571428571429,50.0,41.329403,Moderate,speed_limit_to_ss_ratio,0.42927578
SE/5691,MH,secondary,rural,90.0,70.0,40.818584,Moderate,speed_limit_to_ss_ratio,0.98773897
SE/5699,MH,secondary,rural,90.0,70.0,50.806915,High Risk,exposure_score,3.1474762
SE/7523,MH,secondary,rural,64.28571428571429,50.0,43.45911,Moderate,speed_limit_to_ss_ratio,1.2681615
TR/13730,MH,trunk,rural,85.0,90.0,32.43298,Acceptable,speed_limit_to_ss_ratio,1.4318771
TR/13795,MH,trunk,rural,56.666666666666664,60.0,31.029083,Acceptable,speed_limit_to_ss_ratio,0.5575952
SE/4488,MH,secondary,rural,64.28571428571429,50.0,40.478016,Moderate,exposure_score,1.5327693
SE/4456,MH,secondary,rural,64.28571428571429,50.0,39.28011,Moderate,speed_limit_to_ss_ratio,0.61247414
SE/10331,MH,secondary,rural,90.0,70.0,45.470703,Moderate,speed_limit_to_ss_ratio,0.95063156
SE/4563,MH,secondary,rural,64.28571428571429,50.0,45.85704,Moderate,speed_limit_to_ss_ratio,2.0242438
SE/8735,MH,secondary,rural,64.28571428571429,50.0,43.39017,Moderate,speed_limit_to_ss_ratio,0.62929934
TR/13999,MH,trunk,rural,56.666666666666664,60.0,36.78424,Moderate,speed_limit_to_ss_ratio,0.70662814
TR/13745,MH,trunk,urban,80.0,60.0,66.603165,High Risk,speed_limit_to_ss_ratio,1.2503319
SE/4425,MH,secondary,rural,90.0,70.0,41.180565,Moderate,exposure_score,0.94439536
SE/7193,MH,secondary,rural,90.0,70.0,44.389984,Moderate,exposure_score,1.0007554
SE/4157,MH,secondary,rural,90.0,70.0,51.874043,High Risk,exposure_score,3.792323
TR/12509,MH,trunk,rural,85.0,90.0,25.942078,Acceptable,speed_limit_to_ss_ratio,1.3845717
PR/3417,MH,primary,urban,80.0,50.0,78.63697,Critical,speed_limit_to_ss_ratio,2.9753814
TR/13746,MH,trunk,urban,80.0,60.0,67.68774,High Risk,speed_limit_to_ss_ratio,0.86470747
TR/13740,MH,trunk,urban,80.0,60.0,63.318146,High Risk,speed_limit_to_ss_ratio,1.567417
TR/11617,MH,trunk,rural,85.0,90.0,19.602043,Acceptable,speed_limit_to_ss_ratio,0.32865158
TR/13741,MH,trunk,urban,80.0,60.0,63.326694,High Risk,speed_limit_to_ss_ratio,1.6432596
TR/13734,MH,trunk,urban,80.0,60.0,58.145603,High Risk,speed_limit_to_ss_ratio,1.9586449
PR/1825,MH,primary,rural,90.0,70.0,41.44684,Moderate,exposure_score,2.615069
SE/7224,MH,secondary,rural,64.28571428571429,50.0,46.598495,Moderate,speed_limit_to_ss_ratio,2.4017518
SE/9207,MH,secondary,rural,90.0,70.0,40.832806,Moderate,speed_limit_to_ss_ratio,1.9041908
SE/9209,MH,secondary,rural,64.28571428571429,50.0,43.883842,Moderate,speed_limit_to_ss_ratio,0.6161554
