country_code,_region,road_class_norm,sss_band,sss,n_segments,speed_limit,speed_85th,pct_over_limit,nilsson_fatal_ratio,est_lives_saved,lives_saved_lower,lives_saved_upper,recommended_limit,limit_change_needed,credibility_class,change_effort,land_use,corridor_label,area_km2,priority_rank,corridor_id
TH,12,primary,High Risk,53.765646518388884,36,85.83333333333333,83.88518518500001,0.16999953562331413,18.008140960000002,4.1175,2.0585,8.2345,50.0,36.333333333333336,Credible,Major (>20 km/h),urban,TH | 12 | primary,0.0,1,1
TH,10,primary,High Risk,55.707682655203385,118,79.66101694915254,73.03381759457626,0.09598410415503765,74.03646419753085,2.3061000000000003,1.153,4.6119,49.178082191780824,30.410958904109588,Credible,Major (>20 km/h),urban,TH | 10 | primary,0.0,2,2
TH,11,secondary,High Risk,61.05167079591837,28,82.5,69.88690476178571,0.04538971579506348,96.38876049382716,1.9759,0.988,3.9516999999999998,47.5,32.5,Under-Speed,Investigate road condition,urban,TH | 11 | secondary,0.0,3,3
TH,40,trunk,High Risk,52.32284554619999,10,90.0,99.158333333,0.4017904525146106,30.88921031253906,1.899,0.9495,3.7981000000000003,55.55555555555556,34.44444444444444,Low Credibility,Major (>20 km/h),urban,TH | 40 | trunk,0.0,4,4
TH,17,trunk,High Risk,55.07653813333334,4,85.0,110.9958333325,0.6838041947013309,12.359619140625,1.8258999999999999,0.9129,3.6516,60.0,25.0,Low Credibility,Major (>20 km/h),urban,TH | 17 | trunk,0.0,5,5
TH,76,trunk,High Risk,55.249893279999995,5,84.0,107.6,0.6687145089372641,11.503873847415122,1.7528,0.8764,3.5056,60.0,24.0,Non-Credible,Moderate (11-20 km/h),rural,TH | 76 | trunk,0.0,6,6
TH,50,primary,High Risk,55.93352866204511,57,83.50877192982456,77.79648078491228,0.15527447629307145,58.23836135253908,1.5153,0.7576,3.0305,48.96551724137931,34.13793103448276,Under-Speed,Major (>20 km/h),urban,TH | 50 | primary,0.0,7,7
TH,73,trunk,High Risk,55.22181674666666,5,84.0,79.2,0.15358408002941254,32.008460852249065,1.3725,0.6863,2.7451,51.666666666666664,35.0,Credible,Major (>20 km/h),urban,TH | 73 | trunk,0.0,8,8
TH,13,primary,High Risk,56.361169069714286,50,83.2,77.24,0.12243595744786305,20.712612345679013,1.1513,0.5756,2.3019000000000003,50.0,32.06896551724138,Credible,Major (>20 km/h),urban,TH | 13 | primary,0.0,9,9
TH,20,trunk,High Risk,54.20870264242424,22,87.5,87.15151515090909,0.27636585995030577,13.032099999999998,1.1162,0.5584,2.233,58.75,28.125,Credible,Major (>20 km/h),urban,TH | 20 | trunk,0.0,10,10
TH,12,secondary,High Risk,58.13025866736,25,79.6,71.5199999996,0.09218317643434841,48.08651975308642,1.034,0.517,2.0681,46.666666666666664,34.166666666666664,Under-Speed,Investigate road condition,urban,TH | 12 | secondary,0.0,11,11
TH,70,trunk,High Risk,51.828839851851846,9,82.22222222222223,99.83333333333333,0.5961165075535262,9.37890625,0.9685,0.4844,1.937,60.0,22.22222222222222,Low Credibility,Moderate (11-20 km/h),urban,TH | 70 | trunk,0.0,12,12
TH,60,primary,High Risk,50.9025998,4,80.0,81.16666666500001,0.2812197605058754,7.965941759999999,0.6669,0.33340000000000003,1.3338999999999999,50.0,30.0,Credible,Major (>20 km/h),urban,TH | 60 | primary,0.0,13,13
TH,10,secondary,High Risk,59.61863436758242,91,80.16483516483517,70.72452686164836,0.05695259832487001,77.45955679012347,0.6022,0.3012,1.2041,48.68421052631579,31.710526315789473,Under-Speed,Investigate road condition,urban,TH | 10 | secondary,0.0,14,14
TH,77,trunk,High Risk,57.528959945733334,5,88.0,96.799999998,0.4133187561495517,10.4976,0.48540000000000005,0.2427,0.9709000000000001,60.0,27.5,Low Credibility,Major (>20 km/h),urban,TH | 77 | trunk,0.0,15,15
TH,52,trunk,High Risk,53.20157808888889,6,86.66666666666667,104.70833333333333,0.5695583395292775,10.891833410493827,0.3762,0.18810000000000002,0.7522,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),urban,TH | 52 | trunk,0.0,16,16
TH,27,trunk,High Risk,58.26064444444444,3,88.33333333333333,78.2,0.15814345529241705,8.888613453827158,0.3684,0.1842,0.7369,60.0,30.0,Under-Speed,Investigate road condition,urban,TH | 27 | trunk,0.0,17,17
TH,14,trunk,High Risk,58.34407887407407,9,88.88888888888889,104.27777777777777,0.5448109120099991,12.141353086419754,0.3584,0.17909999999999998,0.7166,60.0,28.75,Low Credibility,Major (>20 km/h),rural,TH | 14 | trunk,0.0,18,18
TH,50,secondary,High Risk,59.95839904626495,78,84.73076923076923,67.50608974358975,0.06268535772424808,18.717736960000003,0.3578,0.17880000000000001,0.7147,50.0,29.523809523809526,Under-Speed,Investigate road condition,urban,TH | 50 | secondary,0.0,19,19
TH,72,trunk,High Risk,53.66548644023332,20,85.0,105.18333333349999,0.6206553586760759,12.580814891975308,0.357,0.1782,0.7136,60.0,25.0,Low Credibility,Major (>20 km/h),rural,TH | 72 | trunk,0.0,20,20
TH,83,primary,High Risk,55.65582783999999,5,74.0,70.1,0.24883862259789483,22.378812890624992,0.3302,0.1651,0.6604,46.666666666666664,30.0,Credible,Major (>20 km/h),rural,TH | 83 | primary,0.0,21,21
TH,74,primary,High Risk,54.7460111,8,85.625,81.9583333325,0.14076981582842207,92.35210000000001,0.316,0.15789999999999998,0.632,46.0,41.0,Credible,Major (>20 km/h),urban,TH | 74 | primary,0.0,22,22
TH,62,trunk,High Risk,54.52890657622222,3,86.66666666666667,104.94444444333334,0.5262999574683288,9.741334567901234,0.307,0.1534,0.614,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),rural,TH | 62 | trunk,0.0,23,23
TH,13,secondary,High Risk,57.94629579196938,28,84.64285714285714,77.69600340107142,0.12414195912773907,100.55632716049381,0.30160000000000003,0.1506,0.6032000000000001,46.666666666666664,37.666666666666664,Under-Speed,Major (>20 km/h),urban,TH | 13 | secondary,0.0,24,24
TH,90,trunk,High Risk,54.76588216190476,28,87.14285714285714,101.125,0.4993281196569223,13.495418595679014,0.29059999999999997,0.1452,0.5809,60.0,27.307692307692307,Low Credibility,Major (>20 km/h),rural,TH | 90 | trunk,0.0,25,25
TH,40,primary,High Risk,55.80729485714286,7,79.28571428571429,86.72448979571428,0.40729133100348547,118.59209999999997,0.27830000000000005,0.1392,0.557,46.666666666666664,32.5,Low Credibility,Major (>20 km/h),urban,TH | 40 | primary,0.0,26,26
TH,14,primary,High Risk,56.60048914285714,20,85.5,83.9041666665,0.29174757177910493,26.08757775999999,0.2735,0.1366,0.5465,50.0,35.38461538461539,Low Credibility,Major (>20 km/h),rural,TH | 14 | primary,0.0,27,27
TH,30,primary,High Risk,54.29119454025974,22,85.9090909090909,92.13257575727272,0.334743074037347,27.023362559999992,0.2668,0.1336,0.5343,50.0,36.0,Credible,Major (>20 km/h),urban,TH | 30 | primary,0.0,28,28
TH,21,trunk,High Risk,56.8156058962963,9,85.55555555555556,89.94444444444444,0.3481304438530518,9.926437890624998,0.2376,0.11889999999999999,0.4754,60.0,24.166666666666668,Under-Speed,Investigate road condition,urban,TH | 21 | trunk,0.0,29,29
TH,71,primary,High Risk,55.76033774857142,30,86.36666666666666,90.575,0.3401320316205959,21.767823360000005,0.2376,0.1187,0.47490000000000004,50.0,35.458333333333336,Low Credibility,Major (>20 km/h),urban,TH | 71 | primary,0.0,30,30
TH,80,trunk,High Risk,54.51507335348718,13,83.84615384615384,101.51282051230768,0.5656649616813284,12.729919218133515,0.2303,0.11510000000000001,0.46030000000000004,60.0,24.166666666666668,Low Credibility,Moderate (11-20 km/h),urban,TH | 80 | trunk,0.0,31,31
TH,41,trunk,High Risk,51.63049133333333,4,80.0,92.0833333325,0.42932047855732064,8.684481558641973,0.2293,0.11460000000000001,0.4585,55.0,25.0,Credible,Major (>20 km/h),urban,TH | 41 | trunk,0.0,32,32
TH,73,primary,High Risk,55.39340503428572,20,81.5,84.75,0.29781268825463436,19.448100000000004,0.21960000000000002,0.1099,0.4393,50.0,31.333333333333332,Low Credibility,Major (>20 km/h),rural,TH | 73 | primary,0.0,33,33
TH,24,trunk,High Risk,53.49413306666666,8,87.5,93.0,0.36371574894881736,9.37890625,0.198,0.099,0.396,60.0,28.333333333333332,Low Credibility,Major (>20 km/h),rural,TH | 24 | trunk,0.0,34,34
TH,67,trunk,High Risk,55.32268656969697,11,86.36363636363636,104.68181818181819,0.5870168036133748,10.891833410493827,0.1792,0.0897,0.3583,60.0,26.363636363636363,Low Credibility,Major (>20 km/h),urban,TH | 67 | trunk,0.0,35,35
TH,56,trunk,High Risk,56.27322661333333,5,88.0,99.15,0.43117888824507417,12.580814891975308,0.162,0.08099999999999999,0.324,60.0,30.0,Low Credibility,Major (>20 km/h),rural,TH | 56 | trunk,0.0,36,36
TH,20,secondary,High Risk,59.65102904285714,56,85.35714285714286,72.23660714285714,0.06416081897063382,26.39676049382716,0.1605,0.08009999999999999,0.321,50.0,31.5625,Under-Speed,Investigate road condition,urban,TH | 20 | secondary,0.0,37,37
TH,84,trunk,High Risk,56.9874754962963,9,88.88888888888889,106.55555555555556,0.4936915544680322,13.495418595679014,0.1473,0.0735,0.2943,60.0,28.88888888888889,Low Credibility,Major (>20 km/h),rural,TH | 84 | trunk,0.0,38,38
TH,20,primary,High Risk,54.627076357,18,82.77777777777777,82.16666666611111,0.20010831749971592,18.717736960000003,0.1439,0.0718,0.2875,50.0,33.07692307692308,Credible,Major (>20 km/h),urban,TH | 20 | primary,0.0,39,39
TH,18,trunk,High Risk,58.2339476,4,87.5,109.75,0.6583328442585217,13.970982716049383,0.1412,0.07050000000000001,0.2823,57.5,30.0,Non-Credible,Major (>20 km/h),rural,TH | 18 | trunk,0.0,40,40
TH,74,trunk,High Risk,54.93058003533332,3,90.0,94.11695906333334,0.3765848059452408,9.026686419753087,0.133,0.0665,0.266,60.0,30.0,Low Credibility,Major (>20 km/h),rural,TH | 74 | trunk,0.0,41,41
TH,19,trunk,High Risk,51.147326826666664,5,82.0,96.2,0.4651533678539452,10.03875856,0.1319,0.0658,0.2637,56.0,26.0,Credible,Major (>20 km/h),urban,TH | 19 | trunk,0.0,42,42
TH,83,secondary,High Risk,56.50296239047619,28,80.53571428571429,75.19642857142857,0.15208339799878692,15.36953616,0.125,0.0623,0.2498,50.0,31.666666666666668,Credible,Major (>20 km/h),rural,TH | 83 | secondary,0.0,43,43
TH,30,trunk,High Risk,52.15372475555555,6,86.66666666666667,103.25,0.5210994015239145,10.114166743827163,0.1078,0.054,0.2156,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),urban,TH | 30 | trunk,0.0,44,44
TH,11,primary,High Risk,55.054109890333336,12,81.25,81.993055555,0.2043585629602136,19.039755151172482,0.1047,0.052199999999999996,0.2092,50.0,29.444444444444443,Credible,Major (>20 km/h),urban,TH | 11 | primary,0.0,45,45
TH,22,trunk,High Risk,52.74863484288889,3,86.66666666666667,103.11111111000001,0.5871122426336112,9.864446273149609,0.1038,0.0518,0.20750000000000002,60.0,26.666666666666668,Low Credibility,Major (>20 km/h),urban,TH | 22 | trunk,0.0,46,46
TH,86,trunk,High Risk,54.54137638518518,9,85.55555555555556,100.22222222222223,0.4916667960352086,10.891833410493827,0.096,0.0479,0.1922,60.0,26.25,Low Credibility,Major (>20 km/h),rural,TH | 86 | trunk,0.0,47,47
TH,54,trunk,High Risk,53.04834213333333,7,85.0,96.42857142857143,0.44166808559057985,11.503873847415122,0.08950000000000001,0.0448,0.1789,60.0,25.833333333333332,Credible,Major (>20 km/h),rural,TH | 54 | trunk,0.0,48,48
TH,41,primary,High Risk,57.86812668571429,8,81.25,76.0625,0.18022048907927196,17.31891456,0.08650000000000001,0.0433,0.17279999999999998,50.0,30.0,Credible,Major (>20 km/h),urban,TH | 41 | primary,0.0,49,49
TH,57,trunk,High Risk,54.0790865025641,13,82.6923076923077,105.96153846153847,0.6822043010949879,12.580814891975308,0.0852,0.0428,0.1707,60.0,22.692307692307693,Non-Credible,Moderate (11-20 km/h),rural,TH | 57 | trunk,0.0,50,50
TH,72,primary,High Risk,56.25994653445378,17,87.6470588235294,97.88235294117646,0.39696565305036224,155.86135308641974,0.0801,0.04,0.1601,46.42857142857143,41.42857142857143,Low Credibility,Major (>20 km/h),rural,TH | 72 | primary,0.0,51,51
TH,12,trunk,High Risk,58.78785919999999,12,85.0,76.34722222166667,0.14882331771965832,45.69760000000001,0.0745,0.0372,0.1491,55.0,29.0,Under-Speed,Investigate road condition,urban,TH | 12 | trunk,0.0,52,52
TH,21,primary,High Risk,57.57411327142857,8,81.875,78.75,0.2771152152781702,18.008140960000002,0.0644,0.0322,0.12890000000000001,50.0,28.75,Low Credibility,Investigate road condition,rural,TH | 21 | primary,0.0,53,53
TH,90,primary,High Risk,53.55759158095238,6,85.83333333333333,76.88888888833334,0.1579315682827618,11.462287360000001,0.063,0.0315,0.1259,50.0,35.0,Under-Speed,Investigate road condition,rural,TH | 90 | primary,0.0,54,54
TH,65,primary,High Risk,56.291472133333336,6,83.33333333333333,82.45833333333333,0.22962010779394978,25.17630976000001,0.0581,0.0291,0.1162,50.0,35.0,Credible,Major (>20 km/h),urban,TH | 65 | primary,0.0,55,55
TH,34,primary,High Risk,57.30805170526315,19,85.0,79.80263157894737,0.19272777079651082,40.11462970679012,0.0543,0.0271,0.1086,48.18181818181818,35.0,Under-Speed,Major (>20 km/h),urban,TH | 34 | primary,0.0,56,56
TH,14,secondary,High Risk,57.98677385494505,26,84.8076923076923,72.5,0.06475088783492494,155.86135308641974,0.0538,0.0268,0.10729999999999999,45.55555555555556,35.55555555555556,Under-Speed,Investigate road condition,urban,TH | 14 | secondary,0.0,57,57
TH,80,primary,High Risk,58.07642048,10,84.5,92.3,0.37325537926553964,18.717736960000003,0.0529,0.0263,0.1056,50.0,34.375,Low Credibility,Major (>20 km/h),urban,TH | 80 | primary,0.0,58,58
TH,39,primary,High Risk,57.51158528888888,18,83.61111111111111,87.55555555555556,0.30904248140334234,20.972736160000004,0.0464,0.0232,0.0925,50.0,33.18181818181818,Low Credibility,Major (>20 km/h),rural,TH | 39 | primary,0.0,59,59
TH,84,primary,High Risk,56.63515164444444,9,82.77777777777777,100.66666666666667,0.514641872513321,20.199631360000005,0.0456,0.023000000000000003,0.0912,50.0,32.77777777777778,Low Credibility,Major (>20 km/h),rural,TH | 84 | primary,0.0,60,60
TH,62,primary,High Risk,54.108255523809525,18,83.33333333333333,90.69444444444444,0.3281069767838077,22.585305760000008,0.0449,0.0225,0.09,51.1764705882353,32.35294117647059,Credible,Major (>20 km/h),urban,TH | 62 | primary,0.0,61,61
TH,57,primary,High Risk,55.243236519999996,20,86.55,74.64999999950001,0.13863331311446797,18.008140960000002,0.0448,0.0224,0.0895,50.0,33.333333333333336,Under-Speed,Investigate road condition,rural,TH | 57 | primary,0.0,62,62
TH,70,secondary,High Risk,57.29199407663344,43,82.11627906976744,72.89147286837209,0.1322487233346078,45.69760000000001,0.0434,0.0217,0.0871,50.0,31.0,Under-Speed,Investigate road condition,urban,TH | 70 | secondary,0.0,63,63
TH,64,primary,High Risk,56.88751160902255,19,79.78947368421052,96.62280701736842,0.4895325643550465,43.39881604487373,0.0371,0.0187,0.0742,50.0,28.5,Non-Credible,Major (>20 km/h),urban,TH | 64 | primary,0.0,64,64
TH,44,primary,High Risk,60.30023604897959,14,87.85714285714286,82.21428571428571,0.21066859247315792,42.28250624999999,0.0365,0.0184,0.073,48.0,38.0,Under-Speed,Investigate road condition,urban,TH | 44 | primary,0.0,65,65
TH,42,primary,High Risk,56.382058174,13,79.61538461538461,81.94871794846154,0.2629153375597418,17.31891456,0.0348,0.0174,0.0696,50.0,28.125,Under-Speed,Major (>20 km/h),urban,TH | 42 | primary,0.0,66,66
TH,45,trunk,High Risk,55.061839066666664,4,85.0,88.25,0.2768400752168156,15.36953616,0.0343,0.0171,0.0685,53.333333333333336,30.0,Credible,Major (>20 km/h),urban,TH | 45 | trunk,0.0,67,67
TH,74,secondary,High Risk,61.25399891633334,12,82.5,72.08712121166667,0.07543360692621712,88.443575308642,0.030799999999999998,0.0153,0.061200000000000004,35.0,47.5,Under-Speed,Investigate road condition,urban,TH | 74 | secondary,0.0,68,68
TH,46,primary,High Risk,54.403162640000005,10,83.0,83.85,0.23666696369783252,20.199631360000005,0.030699999999999998,0.015399999999999999,0.0615,50.0,33.333333333333336,Credible,Major (>20 km/h),urban,TH | 46 | primary,0.0,69,69
TH,19,primary,High Risk,50.7816496,3,83.33333333333333,86.66666666666667,0.2473191613541954,43.96518789062501,0.0291,0.0146,0.0584,46.666666666666664,36.666666666666664,Credible,Major (>20 km/h),urban,TH | 19 | primary,0.0,70,70
MH,rural_trunk,trunk,High Risk,58.49952898204024,24,70.20833333333333,57.419810744810746,0.13400010100878965,10.4976,0.028399999999999998,0.0144,0.056999999999999995,55.833333333333336,20.0,Under-Speed,Investigate road condition,rural,MH | rural_trunk | trunk,0.0,71,71
TH,82,primary,High Risk,54.11371008,5,82.0,97.0,0.5800000284355359,31.816650390625,0.0274,0.013600000000000001,0.0548,48.0,34.0,Low Credibility,Major (>20 km/h),rural,TH | 82 | primary,0.0,72,72
TH,21,secondary,High Risk,58.152495818614284,20,83.65,74.8083333335,0.11532829358967389,14.757890559999998,0.0263,0.0131,0.052500000000000005,50.0,31.428571428571427,Under-Speed,Investigate road condition,rural,TH | 21 | secondary,0.0,73,73
TH,40,secondary,High Risk,59.54772895999999,15,83.0,81.43333333333334,0.20205170618194676,18.008140960000002,0.0259,0.0128,0.0514,50.0,31.875,Under-Speed,Major (>20 km/h),urban,TH | 40 | secondary,0.0,74,74
TH,34,trunk,High Risk,55.92243813333332,6,90.0,96.83333333333333,0.33263882783215687,10.114166743827163,0.025800000000000003,0.0128,0.0517,60.0,30.0,Low Credibility,Major (>20 km/h),urban,TH | 34 | trunk,0.0,75,75
TH,19,secondary,High Risk,56.9746030021978,26,83.84615384615384,74.8173076923077,0.08562635333899483,14.757890559999998,0.0247,0.0124,0.0496,50.0,29.375,Under-Speed,Investigate road condition,urban,TH | 19 | secondary,0.0,76,76
TH,25,secondary,High Risk,57.77770353015873,15,86.66666666666667,75.66666666666667,0.11902325918592148,21.767823360000005,0.0235,0.0118,0.0472,50.0,40.0,Under-Speed,Investigate road condition,rural,TH | 25 | secondary,0.0,77,77
TH,16,secondary,High Risk,57.33957597575758,22,86.81818181818181,71.5,0.050263289037099264,33.1776,0.023,0.0115,0.046,50.0,35.0,Under-Speed,Investigate road condition,rural,TH | 16 | secondary,0.0,78,78
TH,16,primary,High Risk,57.49905448888889,9,82.22222222222223,86.66666666666667,0.3131486072310811,25.17630976000001,0.0221,0.011,0.0443,50.0,33.333333333333336,Under-Speed,Major (>20 km/h),urban,TH | 16 | primary,0.0,79,79
